Date,Meter Type,MeterSizeDesc4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Reuse, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/29/2010,Water, 5/8   3/4
6/30/2010,Water, 5/8   3/4
6/30/2010,Water, 5/8   3/4
6/30/2010,Water, 5/8   3/4
7/1/2010,Water, 5/8   3/4
7/1/2010,Water, 5/8   3/4
7/1/2010,Water,1.5
7/1/2010,Reuse, 5/8   3/4
7/1/2010,Reuse, 5/8   3/4
7/1/2010,Reuse, 5/8   3/4
7/2/2010,Water, 5/8   3/4
7/2/2010,Water, 5/8   3/4
7/2/2010,Reuse, 5/8   3/4
7/2/2010,Reuse, 5/8   3/4
7/7/2010,Water, 5/8   3/4
7/7/2010,Water, 5/8   3/4
7/7/2010,Water, 5/8   3/4
7/7/2010,Water, 5/8   3/4
7/8/2010,Water, 5/8   3/4
7/8/2010,Water, 5/8   3/4
7/9/2010,Water, 5/8   3/4
7/9/2010,Water, 5/8   3/4
7/9/2010,Water, 5/8   3/4
7/9/2010,Water, 5/8   3/4
7/9/2010,Reuse, 5/8   3/4
7/12/2010,Water, 5/8   3/4
7/12/2010,Water, 5/8   3/4
7/13/2010,Water, 5/8   3/4
7/13/2010,Water, 5/8   3/4
7/13/2010,Water, 5/8   3/4
7/13/2010,Water, 5/8   3/4
7/13/2010,Water, 5/8   3/4
7/13/2010,Water,1.5
7/14/2010,Water, 5/8   3/4
7/14/2010,Water, 5/8   3/4
7/14/2010,Water, 5/8   3/4
7/15/2010,Water, 5/8   3/4
7/15/2010,Water, 5/8   3/4
7/15/2010,Water, 5/8   3/4
7/15/2010,Water, 5/8   3/4
7/16/2010,Water, 5/8   3/4
7/16/2010,Water, 5/8   3/4
7/16/2010,Reuse, 5/8   3/4
7/16/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/19/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Reuse, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/20/2010,Water, 5/8   3/4
7/21/2010,Water, 5/8   3/4
7/21/2010,Water, 5/8   3/4
7/21/2010,Water, 5/8   3/4
7/21/2010,Water, 5/8   3/4
7/21/2010,Water, 5/8   3/4
7/22/2010,Water, 5/8   3/4
7/22/2010,Water, 5/8   3/4
7/22/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/23/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/26/2010,Water, 5/8   3/4
7/27/2010,Water, 5/8   3/4
7/27/2010,Water, 5/8   3/4
7/27/2010,Water, 5/8   3/4
7/27/2010,Water, 5/8   3/4
7/27/2010,Water, 5/8   3/4
7/28/2010,Water, 5/8   3/4
7/28/2010,Water, 5/8   3/4
7/28/2010,Water, 5/8   3/4
7/28/2010,Reuse, 5/8   3/4
7/28/2010,Reuse, 5/8   3/4
7/28/2010,Water, 5/8   3/4
7/28/2010,Water, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/29/2010,Reuse, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/29/2010,Water, 5/8   3/4
7/30/2010,Water, 5/8   3/4
7/30/2010,Water, 5/8   3/4
7/30/2010,Water, 5/8   3/4
7/30/2010,Water, 5/8   3/4
7/31/2010,Water, 5/8   3/4
8/1/2010,Water, 5/8   3/4
8/1/2010,Water, 5/8   3/4
8/1/2010,Water,1
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/2/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water, 5/8   3/4
8/4/2010,Water,1.5
8/5/2010,Water, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/5/2010,Reuse, 5/8   3/4
8/5/2010,Reuse, 5/8   3/4
8/5/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/6/2010,Water, 5/8   3/4
8/9/2010,Water, 5/8   3/4
8/9/2010,Water, 5/8   3/4
8/9/2010,Water,1.5
8/9/2010,Reuse, 5/8   3/4
8/9/2010,Water, 5/8   3/4
8/9/2010,Water, 5/8   3/4
8/10/2010,Water, 5/8   3/4
8/10/2010,Water, 5/8   3/4
8/10/2010,Water, 5/8   3/4
8/10/2010,Water, 5/8   3/4
